movie_genre_id,movie_id,genre_id
0,862,16
1,862,35
2,862,10751
3,8844,12
4,8844,14
5,8844,10751
6,15602,10749
7,15602,35
8,31357,35
9,31357,18
10,31357,10749
11,11862,35
12,949,28
13,949,80
14,949,18
15,949,53
16,11860,35
17,11860,10749
18,45325,28
19,45325,12
20,45325,18
21,45325,10751
22,9091,28
23,9091,12
24,9091,53
25,710,12
26,710,28
27,710,53
28,9087,35
29,9087,18
30,9087,10749
31,12110,35
32,12110,27
33,21032,10751
34,21032,16
35,21032,12
36,10858,36
37,10858,18
38,1408,28
39,1408,12
40,524,18
41,524,80
42,4584,18
43,4584,10749
44,5,80
45,5,35
46,9273,80
47,9273,35
48,9273,12
49,11517,28
50,11517,35
51,11517,80
52,8012,35
53,8012,53
54,8012,80
55,1710,18
56,1710,53
57,9691,28
58,9691,12
59,9691,80
60,9691,53
61,12665,18
62,12665,14
63,12665,878
64,12665,53
65,451,18
66,451,10749
67,16420,18
68,9263,35
69,9263,18
70,9263,10751
71,17015,18
72,17015,10749
73,902,14
74,902,878
75,902,12
76,37557,18
77,37557,80
78,9909,18
79,9909,80
80,63,878
81,63,53
82,63,9648
83,78802,10749
84,78802,12
85,9598,14
86,9598,18
87,9598,35
88,9598,10751
89,47018,36
90,47018,18
91,47018,10749
92,687,18
93,139405,12
94,139405,36
95,139405,18
96,139405,10751
97,33689,35
98,33689,10751
99,33689,10749
100,9603,35
101,9603,18
102,9603,10749
103,34615,18
104,31174,18
105,31174,10752
106,11443,28
107,11443,80
108,11443,18
109,11443,36
110,35196,18
111,35196,10749
112,9312,28
113,9312,14
114,577,14
115,577,18
116,577,35
117,577,53
118,11861,18
119,11861,10749
120,807,80
121,807,9648
122,807,53
123,10530,12
124,10530,16
125,10530,18
126,10530,10751
127,8391,18
128,8391,10749
129,629,18
130,629,80
131,629,53
132,117164,28
133,117164,53
134,117164,18
135,11448,35
136,11448,10749
137,49133,18
138,49133,10769
139,26441,28
140,26441,12
141,26441,35
142,26441,10751
143,97406,18
144,9089,35
145,9089,18
146,9089,10749
147,11010,35
148,11010,18
149,11010,10749
150,99040,53
151,99040,18
152,99040,9648
153,11359,12
154,11359,10751
155,11359,14
156,17182,18
157,17182,53
158,2054,10402
159,2054,18
160,2054,10751
161,10607,35
162,19760,35
163,19760,10749
164,9536,35
165,11525,28
166,11525,878
167,40628,18
168,40628,10751
169,4482,35
170,4482,10749
171,10634,35
172,755,27
173,755,28
174,755,53
175,755,80
176,11859,28
177,11859,53
178,11859,10749
179,28387,35
180,28387,18
181,28387,10749
182,48750,18
183,48750,36
184,20927,18
185,20927,10749
186,36929,35
187,36929,10751
188,9102,27
189,9102,878
190,124626,99
191,27526,18
192,27526,53
193,9623,18
194,9623,53
195,46785,10751
196,46785,18
197,400,18
198,400,80
199,880,18
200,880,35
201,146599,10749
202,146599,18
203,8447,18
204,8447,10749
205,10534,28
206,10534,18
207,17414,12
208,17414,35
209,17414,10751
210,13997,35
211,2086,80
212,2086,18
213,2086,53
214,61548,18
215,9095,18
216,9095,27
217,9095,53
218,9095,10749
219,12158,35
220,12158,27
221,12158,10749
222,9283,35
223,9283,18
224,9283,10749
225,9208,28
226,9208,12
227,9208,18
228,9208,53
229,40154,35
230,406,18
231,45549,28
232,45549,12
233,45549,18
234,45549,878
235,45549,53
236,63076,99
237,11062,18
238,11062,53
239,13685,35
240,13685,80
241,13685,18
242,47475,35
243,47475,10749
244,2045,18
245,2045,9648
246,2045,878
247,2045,53
248,9614,35
249,688,18
250,688,10749
251,11907,18
252,11907,35
253,11907,10751
254,10874,28
255,10874,35
256,10874,10402
257,10874,10751
258,10874,12
259,89333,99
260,96357,80
261,197,28
262,197,18
263,197,36
264,197,10752
265,103,80
266,103,18
267,33542,80
268,33542,28
269,33542,35
270,33542,53
271,43566,18
272,43566,53
273,71754,18
274,43612,35
275,51352,99
276,51352,18
277,51352,10769
278,16934,35
279,16934,80
280,16934,18
281,10324,35
282,10324,10749
283,78406,35
284,78406,18
285,55731,28
286,55731,12
287,55731,35
288,55731,18
289,55731,10751
290,32119,18
291,11066,35
292,11066,10749
293,11104,18
294,11104,35
295,11104,10749
296,37975,18
297,37975,10749
298,2074,35
299,2074,10749
300,27793,14
301,44284,18
302,110972,35
303,110972,10749
304,32622,35
305,32622,18
306,73067,18
307,73067,10749
308,73067,10752
309,11863,28
310,11863,53
311,11863,9648
312,11863,10749
313,55475,35
314,55475,18
315,55475,10749
316,124636,10402
317,124636,99
318,9101,35
319,123360,99
320,5757,35
321,39428,18
322,9302,18
323,9302,10749
324,11000,35
325,249882,18
326,16388,35
327,16388,18
328,16388,10749
329,9737,28
330,9737,35
331,9737,80
332,9737,53
333,30765,28
334,30765,12
335,30765,18
336,30765,10751
337,10474,18
338,10474,80
339,22279,10749
340,22279,18
341,22279,35
342,30157,80
343,30157,35
344,30157,18
345,30157,53
346,568,18
347,11780,12
348,34996,18
349,34996,27
350,414,28
351,414,80
352,414,14
353,649,18
354,649,10749
355,1873,18
356,1873,53
357,5894,35
358,1775,28
359,1775,35
360,8839,14
361,8839,35
362,8839,10751
363,20649,9648
364,20649,80
365,20649,18
366,10329,28
367,10329,12
368,10329,18
369,10329,9648
370,10329,878
371,10329,53
372,8963,28
373,8963,53
374,8963,18
375,26564,99
376,8068,53
377,8068,28
378,8068,80
379,8512,18
380,8512,9648
381,8512,53
382,1572,28
383,1572,53
384,13552,28
385,13552,35
386,13552,80
387,13552,18
388,259209,18
389,259209,80
390,6520,28
391,6520,12
392,6520,18
393,6520,10749
394,9073,12
395,10428,28
396,10428,80
397,10428,53
398,10428,18
399,17447,35
400,17447,18
401,17447,10749
402,9886,12
403,9886,28
404,9886,18
405,9886,878
406,9886,53
407,9482,878
408,19326,35
409,19326,18
410,9344,18
411,9344,80
412,9071,18
413,9071,35
414,8973,9648
415,8973,27
416,8973,53
417,15730,35
418,15730,18
419,47608,18
